instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Leipzig-150-80000-3--maxScore-160000-spanBuf-14698-evaluation,0,0.581111927883315,1,0,0,0,0,0,0.264672882733006,0,0,0,0.383990405076025,0,0,0,evaluation,Leipzig,spanBuf,large
LGF-Leipzig-50-80000-1--maxScore-160000-interBuf-3307-evaluation,0,0,0.0826774599503419,0,0.343668582701269,0,0,0,0.355178395292677,0.0234277745654909,0,0,1,0,0,0,evaluation,Leipzig,interBuf,small
LGF-Leipzig-50-80000-1--maxScore-160000-spanBuf-13989-evaluation,0,0.048002836208934,0.099850311195147,0,0.192428897817695,0,0,0,0.141290475064997,0,0,0,1,0,0,0,evaluation,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-2--maxScore-160000-interBuf-4608-evaluation,0,0.0887104367593451,0,0,1,0,0,0,0.821032242443808,0,0,0,0.78885705446377,0,0,0,evaluation,Leipzig,interBuf,small
LGF-Leipzig-50-80000-2--maxScore-160000-spanBuf-14600-evaluation,0,0.130658238285008,0.0464133571526728,0,0.0862580733818881,0,0,0,0.0655146351518482,0,0,0,1,0,0,0,evaluation,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-3--maxScore-160000-interBuf-2882-evaluation,0.143964399387009,0.191456442296358,0.303268301308499,0,0.840489803135684,0.0121566662737239,0,0.00934221383944359,1,0,0,0,0.14473063774608,0.107951196510668,0,0,evaluation,Leipzig,interBuf,small
LGF-Leipzig-50-80000-3--maxScore-160000-spanBuf-15715-evaluation,0,0.44821504916631,0.15204147071398,0.825459598118855,1,0,0,0,0.473546387345019,0.109876015391193,0,0,0.525331338178708,0.925876442924325,0,0,evaluation,Leipzig,spanBuf,small
LGF-Berlin-100-80000-1--maxScore-160000-interBuf-14435-bitVector,0,0,0,0,0,0,0,0,0.977275032971492,0,0,0.998275337323729,0,0,1,0,bitVector,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--maxScore-160000-spanBuf-65585-bitVector,0.496777467647804,0,0,0.646434914996194,0,0,0,1,0,0.498249175336208,0.994823648820096,0,0,0.497386450139558,0,0,bitVector,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-interBuf-10772-bitVector,0,0.986160249739854,0.497450572320499,0.508636836628511,0.509781477627471,0,1,0.971383975026015,0.490790842872008,0.482466181061394,0.484495317377731,0.110665972944849,0,0.497918834547346,0,0,bitVector,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--maxScore-160000-spanBuf-57408-bitVector,0,0,0,0.20940962516418,0,0.329976762199845,0.653015862324454,0,0,0,0,0,0,1,0.331525948876839,0.32910113494763,bitVector,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-interBuf-17570-bitVector,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,bitVector,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--maxScore-160000-spanBuf-61596-bitVector,0,1,0,0.165418100830128,0,0,0,0,0,0,0,0,0,0,0,0,bitVector,Berlin,spanBuf,mid
LGF-Berlin-150-80000-1--maxScore-160000-interBuf-12872-bitVector,0,0,0,0.785198928056072,0,0,0,0,0,0,0,0,0,0,0.968769325912183,1,bitVector,Berlin,interBuf,large
LGF-Berlin-150-80000-1--maxScore-160000-spanBuf-59981-bitVector,0,0.666631700409106,0,0,1,0.332319311864051,0.32700444071471,0,0,0.6751634672541,0.662750445819784,0.338473373194867,0,0.332564075666981,0.686632399734257,0.339242630861219,bitVector,Berlin,spanBuf,large
