instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Leipzig-50-80000-1--minTime-27-interBuf-4238-bitVector,4,4,4,4,1,4,3,4,1.05277394438336,4,4,4,4,4,4,4,bitVector,Leipzig,interBuf,small
LGF-Leipzig-50-80000-1--minTime-27-spanBuf-14659-bitVector,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,bitVector,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-2--minTime-28-interBuf-2280-bitVector,1.73693077996721,1.72594915816233,1.72553140660848,2.2783965367881,1.66052385609959,1.65954503853751,1.6413013850535,2.29012220201963,1.66255678488237,1.66118644029546,1.65370225062848,2.47745113048356,1.75120125369209,1.36931173694039,1,1.36253950038017,bitVector,Leipzig,interBuf,small
LGF-Leipzig-50-80000-2--minTime-28-spanBuf-14815-bitVector,4,4,4,4,4,1.09507870397226,4,4,4,1.1713962730961,4,4,1,2.39582789251175,1.99929136022229,1.91362290716615,bitVector,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-3--minTime-28-interBuf-3949-bitVector,4,1.46842510698125,1.46842510698125,1,1.85800727822118,1.70816798159044,1.70816798159044,1.63777213569275,1.91794299687347,1.82803941889503,1.79807155956888,1.8153608081378,4,4,1.5583286849597,1.10682438718654,bitVector,Leipzig,interBuf,small
LGF-Leipzig-50-80000-3--minTime-28-spanBuf-15011-bitVector,2.75732624691273,2.69745959331716,2.68330874215901,2.6562529018548,2.59159709206669,2.57178851232833,2.66411744547124,2.55350698144692,2.60699956990827,2.63074574114682,2.61321301025337,2,1,2.6503493613783,2.76551471727843,2.65276969995073,bitVector,Leipzig,spanBuf,small
LGF-Berlin-100-80000-1--minTime-56-interBuf-13648-time,1,1.09957802848997,1.71467317413853,1.50853229492727,1.70098896011617,1.00590752506586,1.55531308782824,1.44854776807595,1.7010380593038,1.03536328857575,1.41125163989277,1.42756913917029,2.03164332467948,1.48367561467006,1.65011531298464,1.36452321798456,time,Berlin,interBuf,mid
LGF-Berlin-100-80000-1--minTime-56-spanBuf-60067-time,1.19770856288263,1.7663250165032,3.72548014398306,2.24198903598933,1.00927689396597,2.00155873623681,2.04091582128448,1.3880907470193,1,2.00491537091154,2.04528981063389,1.45211370711633,4,4,4,2.42210295535055,time,Berlin,spanBuf,mid
LGF-Berlin-100-80000-2--minTime-53-interBuf-10444-time,1.97957602090808,2.47191894272351,3.09329614317172,2.88866261369958,1.26821788775701,2.81070424163135,3.20611944074832,2.89998932672377,1.2713738561735,3.24529224894318,3.3213341068316,3.24574129565457,1,2.84287215682381,3.17163253674401,2.99002276445358,time,Berlin,interBuf,mid
LGF-Berlin-100-80000-2--minTime-53-spanBuf-54144-time,1.06994348185713,1.64743294004963,2.23539491737208,1.94980481732425,1.86038212114315,2.08872162066386,2.30412107268588,2.45844341929408,1.72613353162077,2.22488681675825,1.96703771542973,2.34289596064445,1,1.70979545463633,2.20780747837815,2.06250656291271,time,Berlin,spanBuf,mid
LGF-Berlin-100-80000-3--minTime-52-interBuf-17313-time,2.13980032228564,1.27860227667467,1.35798081619061,1.07260080716174,1.02955947057971,1.05034929569997,1.26868019339232,1.13395354032325,1,1.07131188458381,1.23841191037869,1.05914140912918,1.32711028118164,1.28580215489305,1.33135158721691,1.28834530067116,time,Berlin,interBuf,mid
LGF-Berlin-100-80000-3--minTime-52-spanBuf-66231-time,1.14945278448728,1.16453075563176,1.19594077791714,1.65536549596266,1,1.01424374240188,1.08798058639761,1.36575683119756,1.02133451832628,1.12711247425282,1.04355390354154,1.43003395570285,1.1366037617858,1.15456510073705,1.18416945566617,1.57776604332322,time,Berlin,spanBuf,mid
